Date,Time,Observer,Where,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
10/17,1:20:00 PM,Hannah,M,2,1,0,0,2,0,0,0,1,1,0,0,0,2,1
10/17,1:40:00 PM,Hannah,R,1,1,1,1,3,1,1,0,1,3,1,0,0,0,0
10/17,2:00:00 PM,Hannah,L,0,1,0,2,1,1,1,0,0,0,0,1,0,4,2
10/14,12:00:00 PM,Bradley,L,3,3,6,2,3,3,7,3,4,2,6,5,11,6,4
10/14,12:20:00 PM,Bradley,M,3,4,6,7,6,5,6,6,7,5,5,5,6,6,5
10/14,12:40:00 PM,Bradley,R,6,3,2,3,3,2,8,3,2,4,2,3,3,4,5
10/14,1:00:00 PM,Bradley,R,3,3,2,4,4,2,4,7,3,4,4,2,3,7,3
10/14,1:20:00 PM,Bradley,M,5,3,5,5,6,5,3,4,4,3,4,2,8,3,5
10/14,1:40:00 PM,Bradley,L,3,4,5,7,5,7,5,2,6,3,6,4,4,7,6
10/17,9:00:00 AM,Monica,L,5,10,8,5,7,7,9,9,6,9,8,9,7,6,10
10/17,9:20:00 AM,Monica,M,5,8,7,9,5,1,5,6,5,8,7,10,18,22,19
10/17,9:40:00 AM,Monica,R,4,5,5,10,9,5,4,6,6,2,0,1,3,4,4
10/17,10:20:00 AM,Nicole,L,7,8,7,3,5,2,4,4,12,7,6,7,5,4,7
10/17,10:40:00 AM,Nicole,M,1,7,10,2,5,3,5,11,7,8,14,8,12,8,9
10/17,5:00:00 PM,Nicole,R,7,6,11,9,11,7,12,10,12,11,9,9,9,14,12
10/19,5:20:00 PM,Monica,L,4,6,7,9,12,10,9,8,9,7,10,14,12,11,9
10/19,5:40:00 PM,Monica,L,16,10,8,5,7,6,5,8,10,12,14,13,11,9,6
10/19,12:00:00 PM,Monica,M,16,14,11,23,25,21,17,16,22,20,21,16,14,10,12
10/19,12:20:00 PM,Monica,M,16,14,19,14,16,20,24,21,19,17,16,14,10,17,16
10/19,12:40:00 PM,Monica,R,3,5,6,3,7,4,6,7,8,9,5,3,6,2,7
10/19,1:00:00 PM,Monica,R,2,4,3,2,3,7,6,7,4,6,6,5,9,4,3
10/22,9:00:00 AM,Monica,L,11,14,13,8,6,7,8,11,13,15,12,11,7,9,8
10/22,9:20:00 AM,Monica,M,10,15,16,9,10,7,7,9,16,13,6,8,10,13,17
10/22,9:40:00 AM,Monica,R,14,16,13,8,14,16,10,11,10,15,13,17,9,10,11
10/22,10:00:00 AM,Monica,L,3,5,4,5,5,4,3,2,4,3,4,4,5,7,4
10/22,10:20:00 AM,Monica,M,10,12,12,11,16,15,15,14,14,13,16,14,14,17,16
10/22,10:40:00 AM,Monica,R,4,3,9,8,9,6,6,4,7,9,6,2,5,5,3
