Date,Time,Observer,Weather,Wind Speed,Notes
10/17/2017,13:20,Hannah,Cloudy,10,
10/17/2017,13:40,Hannah,Cloudy,10,
10/17/2017,14:00,Hannah,Cloudy,10,
10/14/2017,12:00,Bradley,Sunny,5,
10/14/2017,12:20,Bradley,Sunny,5,
10/14/2017,12:40,Bradley,Sunny,5,
10/14/2017,13:00,Bradley,Sunny,5,
10/14/2017,13:20,Bradley,Sunny,5,
10/14/2017,13:40,Bradley,Sunny,5,
10/17/2017,9:00,Monica,Cloudy,10,
10/17/2017,9:20,Monica,Cloudy,10,
10/17/2017,9:40,Monica,Cloudy,10,
10/17/2017,10:20,Nicole,Cloudy,10,
10/17/2017,10:40,Nicole,Cloudy,10,
10/17/2017,17:00,Nicole,Cloudy,10,
10/18/2017,14:40,Penny,Partly Cloudy,10,
10/18/2017,15:00,Penny,Partly Cloudy,10,
10/18/2017,15:20,Penny,Partly Cloudy,10,
10/18/2017,15:40,Penny,Partly Cloudy,10,
10/18/2017,16:00,Penny,Partly Cloudy,10,
10/18/2017,16:20,Penny,Partly Cloudy,10,
10/19/2017,17:20,Monica,Partly Cloudy,10,
10/19/2017,17:40,Monica,Partly Cloudy,10,
10/19/2017,12:00,Monica,Partly Cloudy,10,
10/19/2017,12:20,Monica,Partly Cloudy,10,
10/19/2017,12:40,Monica,Partly Cloudy,10,
10/19/2017,13:00,Monica,Partly Cloudy,10,
10/22/2017,9:00,Monica,Partly Cloudy,5,
10/22/2017,9:20,Monica,Partly Cloudy,5,
10/22/2017,9:40,Monica,Partly Cloudy,5,
10/22/2017,10:00,Monica,Partly Cloudy,5,
10/22/2017,10:20,Monica,Partly Cloudy,5,
10/22/2017,10:40,Monica,Partly Cloudy,5,
10/24/2017,9:00,Monica,Sunny,10,
10/24/2017,9:20,Monica,Sunny,10,
10/24/2017,9:40,Monica,Sunny,10,
10/24/2017,17:20,Monica,Sunny,10,
10/24/2017,17:40,Monica,Sunny,10,
10/24/2017,12:00,Monica,Sunny,10,extra feeding was done
10/24/2017,12:20,Monica,Sunny,10,
10/24/2017,12:40,Monica,Sunny,10,
10/24/2017,13:00,Monica,Sunny,10,
10/25/2017,14:40,Nicole,Sunny,10,
10/25/2017,15:00,Nicole,Sunny,10,
10/25/2017,15:20,Nicole,Sunny,10,
10/25/2017,15:40,Nicole,Sunny,10,
10/25/2017,16:00,Nicole,Sunny,10,
10/25/2017,16:20,Nicole,Sunny,10,
10/25/2017,16:40,Nicole,Sunny,10,
10/25/2017,12:40,Penny,Sunny,10,
10/25/2017,13:00,Penny,Sunny,10,
10/25/2017,13:20,Penny,Sunny,10,
10/25/2017,13:40,Penny,Sunny,10,
10/25/2017,14:00,Penny,Sunny,10,
10/25/2017,14:20,Penny,Sunny,10,
10/26/2017,17:40,Penny,Sunny,5,
10/26/2017,12:00,Penny,Sunny,5,
10/26/2017,12:20,Penny,Sunny,5,
10/26/2017,12:40,Penny,Sunny,5,
10/26/2017,13:00,Penny,Sunny,5,
10/26/2017,13:20,Penny,Sunny,5,
10/27/2017,13:20,Penny,Sunny,5,
10/27/2017,13:40,Penny,Sunny,5,
10/27/2017,14:00,Penny,Sunny,5,
10/27/2017,14:20,Penny,Sunny,5,
10/27/2017,14:40,Penny,Sunny,5,
10/27/2017,15:00,Penny,Sunny,5,
10/31/2017,9:00,Monica,Sunny,0,putting in new banners...ladders in left section of tank
10/31/2017,9:20,Monica,Sunny,0,putting in new banners...ladders in left section of tank
10/31/2017,9:40,Monica,Sunny,0,putting in new banners...ladders in left section of tank
10/31/2017,17:20,Monica,Sunny,0,
