Date,Time,Observer,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,15
10/14,12:00:00 PM,Bradley,2,1,3,2,3,3,5,3,4,2,3,4,4,4,3,2
10/14,12:20:00 PM,Bradley,7,8,10,6,12,9,5,2,3,4,2,4,3,1,4,0
10/14,12:40:00 PM,Bradley,4,3,3,3,4,2,2,3,3,3,4,4,5,3,3,0
10/14,1:00:00 PM,Bradley,7,3,4,5,4,3,2,4,4,1,0,0,0,2,2,1
10/14,1:20:00 PM,Bradley,0,2,4,5,4,3,2,0,0,4,4,3,4,2,2,0
10/14,1:40:00 PM,Bradley,2,3,2,4,3,4,3,4,3,4,2,5,4,6,4,1
10/17,9:00:00 AM,Monica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/17,9:20:00 AM,Monica,3,0,0,0,0,0,0,0,0,0,0,2,4,4,5,0
10/17,9:40:00 AM,Monica,0,0,0,0,0,1,2,1,2,3,3,3,4,1,0,2
10/17,10:20:00 AM,Nicole,5,0,0,1,0,3,2,4,3,2,2,2,2,0,0,0
10/17,10:40:00 AM,Nicole,0,0,3,1,3,8,10,12,7,6,3,2,3,3,0,0
10/17,5:00:00 PM,Nicole,0,0,0,1,3,3,4,2,3,4,3,4,2,1,3,0
10/17,1:20:00 PM,Hannah,2,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0
10/17,1:40:00 PM,Hannah,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0
10/17,2:00:00 PM,Hannah,1,0,1,2,2,3,0,2,0,0,0,0,0,0,0,0
10/18,10:00:00 AM,Hannah,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4
10/18,10:20:00 AM,Hannah,2,0,0,2,1,0,0,5,6,7,7,5,6,2,3,1
10/18,10:40:00 AM,Hannah,4,4,3,3,1,1,3,2,1,0,0,0,3,0,0,0
10/18,5:00:00 PM,Hannah,4,4,4,0,0,0,0,0,0,0,0,2,0,0,2,0
10/18,5:20:00 PM,Hannah,2,3,5,5,3,5,6,2,2,1,0,0,0,0,0,0
10/18,5:40:00 PM,Hannah,2,0,0,3,2,3,1,3,2,2,1,2,2,3,2,0
10/18,2:40:00 PM,Penny,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10/18,3:00:00 PM,Penny,0,0,3,3,1,4,1,0,0,0,0,0,0,1,1,
10/18,3:20:00 PM,Penny,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
10/18,3:40:00 PM,Penny,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,1
10/18,4:00:00 PM,Penny,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
10/18,4:20:00 PM,Penny,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/19,5:20:00 PM,Monica,5,3,3,1,0,0,0,2,1,1,0,0,0,0,0,1
10/19,5:40:00 PM,Monica,0,0,0,1,2,2,1,1,0,0,1,0,0,1,1,0
10/19,12:00:00 PM,Monica,1,0,0,0,2,1,3,1,6,3,1,0,0,0,0,2
10/19,12:20:00 PM,Monica,1,2,1,1,0,3,4,1,1,2,0,0,0,0,1,1
10/19,12:40:00 PM,Monica,0,1,1,0,0,0,2,1,2,0,0,0,0,0,0,0
10/19,1:00:00 PM,Monica,0,3,2,4,2,3,0,1,1,2,2,1,1,0,0,0
10/22,9:00:00 AM,Monica,5,4,6,4,3,4,4,2,2,4,2,2,1,2,2,0
10/22,9:20:00 AM,Monica,3,4,5,2,3,3,3,4,4,3,5,5,3,3,2,2
10/22,9:40:00 AM,Monica,3,2,2,3,1,2,2,4,2,1,2,4,6,6,6,0
10/22,10:00:00 AM,Monica,2,0,4,3,3,3,5,1,3,0,0,1,0,0,1,3
10/22,10:20:00 AM,Monica,0,4,5,3,4,5,4,1,2,4,5,1,3,6,4,2
10/22,10:40:00 AM,Monica,1,2,1,3,0,0,5,4,1,3,1,3,1,0,1,1
10/24,9:00:00 AM,Monica,0,0,0,1,0,0,1,2,0,0,0,0,0,0,1,2
10/24,9:20:00 AM,Monica,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0
10/24,9:40:00 AM,Monica,4,3,2,4,3,2,0,0,0,0,0,0,0,0,0,0
10/24,5:20:00 PM,Monica,7,7,2,8,8,1,0,0,0,0,0,2,2,2,1,0
10/24,5:40:00 PM,Monica,2,2,1,3,0,1,0,0,0,0,2,0,0,0,2,0
10/24,12:00:00 PM,Monica,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0
10/24,12:20:00 PM,Monica,1,0,1,1,1,3,4,1,1,2,0,0,1,0,1,0
10/24,12:40:00 PM,Monica,0,2,1,0,0,0,1,2,2,0,0,0,0,0,0,0
10/24,1:00:00 PM,Monica,0,3,3,3,2,3,0,2,2,2,2,0,1,2,2,0
10/25,12:40:00 PM,Penny,22,31,29,30,24,28,24,28,27,30,29,16,10,0,1,0
10/25,1:00:00 PM,Penny,3,1,4,3,1,1,2,2,1,1,0,1,1,1,1,1
10/25,1:20:00 PM,Penny,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,2
10/25,1:40:00 PM,Penny,0,0,0,0,0,0,1,2,2,1,1,1,1,2,1,0
10/25,2:00:00 PM,Penny,0,0,0,0,0,1,2,0,5,4,6,5,3,3,2,0
10/25,2:20:00 PM,Penny,2,2,5,5,6,5,3,2,1,2,0,0,0,0,0,1
10/25,2:40:00 PM,Nicole,2,1,2,2,2,3,2,3,1,2,2,0,1,1,0,3
10/25,3:00:00 PM,Nicole,10,7,9,6,5,4,0,0,0,0,3,2,2,0,0,0
10/25,3:20:00 PM,Nicole,0,0,0,0,0,3,3,1,2,2,3,3,2,2,2,0
10/25,3:40:00 PM,Nicole,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10/25,4:00:00 PM,Nicole,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
10/25,4:20:00 PM,Nicole,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11
10/25,4:40:00 PM,Nicole,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
10/26,5:40:00 PM,Penny,5,2,2,2,1,1,3,2,1,1,1,1,0,0,0,1
10/26,12:00:00 PM,Penny,1,1,1,2,2,2,4,3,3,1,0,0,0,0,3,0
10/26,12:20:00 PM,Penny,2,1,2,1,2,1,0,0,2,0,0,0,1,2,1,1
10/26,12:40:00 PM,Penny,0,0,2,0,1,0,0,0,2,0,0,0,0,0,1,2
10/26,1:00:00 PM,Penny,1,1,0,0,0,0,0,2,1,0,0,1,2,2,1,2
10/26,1:20:00 PM,Penny,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
10/27,1:20:00 PM,Penny,2,2,3,2,1,0,0,0,0,0,0,0,1,0,0,2
10/27,1:40:00 PM,Penny,2,3,1,0,1,1,1,2,2,1,1,2,3,0,2,0
10/27,2:00:00 PM,Penny,1,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0
10/27,2:20:00 PM,Penny,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1
10/27,2:40:00 PM,Penny,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
10/27,3:00:00 PM,Penny,0,0,1,0,0,2,3,2,2,0,0,0,0,0,0,0
10-28-17,5:00:00 PM,Bradley,2,4,5,4,3,3,3,2,1,1,1,2,1,2,2,0
10-28-17,5:20:00 PM,Bradley,3,1,1,2,2,2,1,3,5,5,4,6,2,1,1,2
10-28-17,5:40:00 PM,Bradley,2,2,1,1,2,3,2,4,4,2,1,3,3,2,5,0
10-28-17,12:00:00 PM,Bradley,0,0,0,2,2,3,2,3,1,6,4,2,3,1,2,1
10-28-17,12:20:00 PM,Bradley,4,2,2,2,0,0,0,2,5,3,2,1,3,2,0,0
10-28-17,12:40:00 PM,Bradley,4,4,6,3,3,1,1,1,1,3,5,3,5,3,3,0
10-29-17,9:00:00 AM,Bradley,5,4,6,4,3,4,4,2,2,4,2,2,1,2,2,0
10-29-17,9:20:00 AM,Bradley,3,4,5,2,3,3,3,4,4,3,5,5,3,3,2,0
10-29-17,9:40:00 AM,Bradley,3,2,2,3,1,2,2,4,2,1,2,4,6,6,6,0
10-29-17,10:00:00 AM,Bradley,5,3,0,4,0,0,3,3,3,6,3,2,2,1,0,3
10-29-17,10:20:00 AM,Bradley,3,4,4,6,2,0,0,0,0,0,0,0,1,2,0,1
10-29-17,10:40:00 AM,Bradley,0,1,2,2,3,4,3,6,8,6,6,4,5,3,2,0
10/31,9:00:00 AM,Monica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/31,9:20:00 AM,Monica,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,2
10/31,9:40:00 AM,Monica,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1
10/31,5:20:00 PM,Monica,6,6,5,4,4,2,2,0,0,0,0,1,3,2,3,1
10/31,5:40:00 PM,Monica,2,2,1,1,0,0,0,0,0,0,1,1,1,1,1,0
10/31,10:00:00 AM,Nicole,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0
10/31,10:20:00 AM,Nicole,2,1,1,1,2,2,3,1,1,1,1,1,1,3,2,0
10/31,10:40:00 AM,Nicole,1,0,0,0,0,0,0,0,0,0,1,1,2,1,2,0
10/31,12:00:00 PM,Monica,0,0,1,1,2,0,0,0,0,0,0,0,0,0,1,0
10/31,12:20:00 PM,Monica,2,4,3,1,3,2,1,2,2,1,0,0,0,0,0,1
10/31,12:40:00 PM,Monica,0,0,0,0,0,0,0,0,0,1,2,2,1,0,0,0
10/31,1:00:00 PM,Monica,0,3,4,3,2,1,1,0,1,3,4,3,2,2,0,1
11/1,12:40:00 PM,Penny,0,0,1,2,3,3,4,0,0,0,0,0,2,2,1,0
11/1,1:00:00 PM,Penny,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11/1,1:20:00 PM,Penny,1,0,0,3,2,0,0,1,0,2,2,1,0,0,0,0
11/1,1:40:00 PM,Penny,0,0,0,0,0,2,1,3,2,0,4,7,5,6,6,1
11/1,2:00:00 PM,Penny,8,6,3,0,0,1,0,2,3,2,2,5,4,4,4,0
11/1,2:20:00 PM,Penny,4,4,4,4,4,5,5,5,4,6,4,4,5,5,4,0
11/1,3:00:00 PM,Nicole,1,0,0,0,,0,0,0,0,0,0,0,0,0,3,1
11/1,3:20:00 PM,Nicole,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,2
11/1,3:40:00 PM,Nicole,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11/2,9:20:00 AM,Hannah,4,2,2,2,1,3,1,4,4,3,2,1,3,3,3,
11/2,9:40:00 AM,Hannah,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,
11/2,12:40:00 PM,Nicole,0,0,2,3,2,2,2,3,4,2,3,3,2,2,2,
11/3,9:00:00 AM,Monica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11/3,9:20:00 AM,Monica,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,
11/3,9:40:00 AM,Monica,2,3,2,3,2,2,1,0,1,0,0,0,0,0,1,
11/3,2:00:00 PM,Penny,3,4,3,2,2,2,2,2,1,0,0,0,0,1,2,
11/3,2:20:00 PM,Penny,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,
11/3,2:40:00 PM,Penny,0,0,0,0,0,0,0,0,0,1,1,3,2,2,0,
11/3,3:00:00 PM,Penny,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,
11/3,3:20:00 PM,Penny,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
11/3,3:40:00 PM,Penny,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,
11/4,9:00:00 AM,Bradley,3,3,2,1,2,2,2,3,4,5,2,2,2,2,4,
11/4,9:20:00 AM,Bradley,1,0,3,4,1,0,0,1,2,2,2,2,2,2,2,
11/4,9:40:00 AM,Bradley,1,1,1,2,2,2,2,1,2,4,4,3,3,2,2,
11/4,10:00:00 AM,Bradley,3,4,4,5,6,3,1,1,0,0,0,0,0,0,4,
11/4,10:20:00 AM,Bradley,2,4,4,5,4,3,4,2,3,2,2,3,0,2,3,
11/4,10:40:00 AM,Bradley,3,4,3,5,5,7,5,4,6,6,5,7,7,6,4,
11/5,10:20:00 AM,Hannah,2,0,4,3,3,3,5,1,3,0,0,1,0,0,1,
11/5,10:40:00 AM,Hannah,0,4,5,3,4,5,4,1,2,4,5,1,3,6,4,
11/5,5:00:00 PM,Hannah,1,2,1,3,0,0,5,4,1,3,1,3,1,0,1,
11/5,5:40:00 PM,Hannah,4,4,5,7,6,5,1,1,4,6,4,9,7,6,5,
11/5,12:00:00 PM,Hannah,3,2,3,2,2,2,5,0,6,8,4,2,1,3,3,
11/5,12:20:00 PM,Hannah,2,4,2,3,3,5,4,3,4,3,2,3,0,0,1,
11/5,1:00:00 PM,Hannah,2,2,1,2,3,4,3,4,3,1,2,3,0,2,4,
11/6,1:00:00 PM,Hannah,0,0,0,0,0,0,1,1,0,0,0,2,3,3,4,
11/6,1:20:00 PM,Hannah,3,2,2,3,2,0,0,0,1,0,2,2,2,0,1,
11/6,1:40:00 PM,Hannah,0,0,1,0,0,0,0,1,3,3,3,0,0,0,0,
11/6,2:00:00 PM,Hannah,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,
11/7,9:00:00 AM,Monica,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
11/7,9:20:00 AM,Monica,0,0,0,0,0,0,0,0,2,2,2,1,2,2,0,
11/7,9:40:00 AM,Monica,0,1,1,1,1,2,1,1,0,1,0,0,1,0,1,
11/7,1:20:00 PM,Penny,0,0,1,4,3,2,2,1,3,4,4,6,0,3,5,
11/7,1:40:00 PM,Penny,3,2,3,2,3,5,4,6,4,5,7,6,4,4,7,
11/7,2:00:00 PM,Penny,3,7,3,3,2,2,3,2,2,1,4,3,2,2,2,
11/7,2:20:00 PM,Penny,1,1,0,0,0,1,3,2,0,0,0,2,3,2,3,
11/7,2:40:00 PM,Penny,1,0,1,4,4,3,5,4,6,6,6,4,2,4,2,
11/7,3:00:00 PM,Penny,2,4,2,0,2,3,1,0,2,0,3,3,2,3,3,
11/7,3:20:00 PM,Penny,1,0,0,0,2,3,2,0,0,0,0,0,0,0,0,
11/7,3:40:00 PM,Penny,1,0,0,0,0,0,1,2,2,2,1,2,1,3,3,
11/8,1:40:00 PM,Hannah,2,1,0,0,0,2,3,2,0,1,0,1,1,2,0,
11/8,2:00:00 PM,Hannah,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,
11/8,2:20:00 PM,Hannah,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,
11/9,9:00:00 AM,Nicole,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11/9,9:20:00 AM,Nicole,0,0,0,1,0,0,0,0,1,1,4,4,4,3,3,
11/10,10:20:00 AM,Nicole,2,0,4,5,2,3,1,0,0,0,0,0,3,4,2,
11/10,10:40:00 AM,Nicole,2,0,0,0,0,1,3,2,1,2,3,2,0,0,1,
11/10,5:20:00 PM,Hannah,0,0,0,0,0,2,2,2,5,3,2,4,5,4,3,
11/10,5:40:00 PM,Hannah,0,0,0,1,1,1,1,1,2,0,0,1,1,4,2,
